avg_ret,winrate,trades
0.6478140389620071,0.7,20
0.5539640201389038,0.5714285714285714,7
0.5522893829697408,0.5555555555555556,9
0.49533485542761235,0.5,2
0.4922966646264554,0.5,4
0.4912770847681328,0.5,4
0.48844226638433963,0.5,2
0.4867444453498473,0.5,2
0.48623909318055036,0.5,4
0.45953892629931314,1.0,4
0.4481812248224738,0.5,4
0.39192282238779164,0.4,5
0.3917878899334098,0.5,4
0.389823837982146,0.4,5
0.3294117583483211,0.3333333333333333,3
0.32440157942588455,0.3333333333333333,3
0.2657683069939305,0.32575757575757575,132
0.2483620520468885,0.2857142857142857,7
0.2470815637619329,0.25,4
0.2291121591403646,0.38461538461538464,13
0.22131646367937158,0.38235294117647056,34
0.2113163885839266,0.6,5
0.20953902327679896,0.5,2
0.1973490704413769,0.2,5
0.13846485509829998,0.5,2
0.13840258403934058,0.5,202
0.12395779937464362,0.5,4
0.12121572847556558,0.6,5
0.115015774842862,0.35040983606557374,488
0.11081668677635129,0.1111111111111111,9
0.09337636613851846,0.2222222222222222,9
0.09096789243706059,0.5,2
0.08928080622969577,0.5,2
0.08911663793343944,0.4,5
0.07833158725239805,0.2787878787878788,330
0.07530656435039212,0.31313131313131315,990
0.0734451516064903,0.37383177570093457,107
0.07065787613766378,0.92,25
0.06682340491938066,0.3672316384180791,1239
0.06475597451434346,0.44399277326106595,4428
0.0635709521408427,0.46759135769538546,29992
0.06184767934055304,0.17391304347826086,46
0.061152077733807333,0.9961240310077519,258
0.06037636917066747,0.35652487382840664,2774
0.05973831491391308,0.5161290322580645,1054
0.059416046778193454,0.5811965811965812,819
0.05756526403188569,0.540133779264214,598
0.049143695584356405,0.3987138263665595,311
0.04368725087180211,0.7777777777777778,90
0.04366058763680611,0.5714285714285714,35
0.041056216619469676,0.5,4
0.040073184688946016,0.3620689655172414,58
0.039906749706839294,0.65625,32
0.0385439003515053,0.6811352253756261,1198
0.038130825412036315,0.7885906040268457,298
0.036969345472819264,0.5357142857142857,56
